table_name,column_name,data_type,is_nullable,column_default
active_offers_view,id,uuid,YES,null
active_offers_view,title,text,YES,null
active_offers_view,description,text,YES,null
active_offers_view,category,text,YES,null
active_offers_view,original_price,numeric,YES,null
active_offers_view,offer_price,numeric,YES,null
active_offers_view,savings,numeric,YES,null
active_offers_view,start_date,date,YES,null
active_offers_view,end_date,date,YES,null
active_offers_view,days_remaining,integer,YES,null
active_offers_view,priority,integer,YES,null
active_offers_view,priority_text,text,YES,null
active_offers_view,terms,text,YES,null
active_offers_view,created_at,timestamp with time zone,YES,null
active_offers_view,updated_at,timestamp with time zone,YES,null
admin_users,id,uuid,NO,gen_random_uuid()
admin_users,username,text,NO,null
admin_users,password_hash,text,NO,null
admin_users,full_name,text,NO,null
admin_users,role,text,NO,null
admin_users,assigned_location_id,uuid,YES,null
admin_users,permissions,jsonb,YES,'{}'::jsonb
admin_users,active,boolean,YES,true
admin_users,last_login,timestamp with time zone,YES,null
admin_users,last_location_accessed,uuid,YES,null
admin_users,created_at,timestamp with time zone,YES,now()
admin_users,updated_at,timestamp with time zone,YES,now()
admin_users_summary,id,uuid,YES,null
admin_users_summary,username,text,YES,null
admin_users_summary,full_name,text,YES,null
admin_users_summary,role,text,YES,null
admin_users_summary,assigned_location_name,text,YES,null
admin_users_summary,assigned_location_slug,text,YES,null
admin_users_summary,active,boolean,YES,null
admin_users_summary,last_login,timestamp with time zone,YES,null
admin_users_summary,created_at,timestamp with time zone,YES,null
ausencias,id,uuid,NO,gen_random_uuid()
ausencias,empleado_id,uuid,NO,null
ausencias,fecha_inicio,date,NO,null
ausencias,fecha_fin,date,NO,null
ausencias,tipo,text,NO,null
ausencias,horas_teoricas_dia,numeric,YES,8.00
ausencias,total_dias,integer,YES,null
ausencias,total_horas_teoricas,numeric,YES,null
ausencias,motivo,text,YES,null
ausencias,observaciones,text,YES,null
ausencias,justificante_subido,boolean,YES,false
ausencias,creado_por,text,YES,null
ausencias,aprobado_por,text,YES,null
ausencias,estado,text,YES,'pendiente'::text
ausencias,created_at,timestamp with time zone,YES,now()
ausencias,updated_at,timestamp with time zone,YES,now()
ausencias_detalle,id,uuid,YES,null
ausencias_detalle,empleado_nombre,text,YES,null
ausencias_detalle,employee_id,text,YES,null
ausencias_detalle,emoji,text,YES,null
ausencias_detalle,fecha_inicio,date,YES,null
ausencias_detalle,fecha_fin,date,YES,null
ausencias_detalle,tipo,text,YES,null
ausencias_detalle,total_dias,integer,YES,null
ausencias_detalle,horas_teoricas_dia,numeric,YES,null
ausencias_detalle,total_horas_teoricas,numeric,YES,null
ausencias_detalle,motivo,text,YES,null
ausencias_detalle,estado,text,YES,null
ausencias_detalle,creado_por,text,YES,null
ausencias_detalle,created_at,timestamp with time zone,YES,null
ausencias_detalle,activa_hoy,boolean,YES,null
ausencias_detalle,dias_restantes,integer,YES,null
cantidades_calculadas,id,integer,NO,nextval('cantidades_calculadas_id_seq'::regclass)
cantidades_calculadas,producto,character varying,NO,null
cantidades_calculadas,dia_semana,integer,NO,null
cantidades_calculadas,tanda,character varying,NO,null
cantidades_calculadas,cantidad_base,integer,NO,1
cantidades_calculadas,cantidad_ajustada,integer,NO,1
cantidades_calculadas,promedio_ventas_ultimos_30_dias,numeric,YES,0.00
cantidades_calculadas,factor_ajuste,numeric,YES,1.20
cantidades_calculadas,ultima_actualizacion,timestamp with time zone,YES,now()
cantidades_calculadas,defrost_started_at,timestamp with time zone,YES,null
cantidades_calculadas,defrost_completed_at,timestamp with time zone,YES,null
cantidades_calculadas,baking_started_at,timestamp with time zone,YES,null
cantidades_calculadas,baking_completed_at,timestamp with time zone,YES,null
cantidades_calculadas,updated_at,timestamp with time zone,YES,now()
cantidades_calculadas,employee_name,character varying,YES,null
cantidades_calculadas,notes,text,YES,null
daily_sales,id,bigint,NO,null
daily_sales,date,date,NO,null
daily_sales,daily_amount,numeric,NO,0
daily_sales,monthly_total,numeric,NO,0
daily_sales,created_at,timestamp with time zone,NO,"timezone('utc'::text, now())"
daily_sales,updated_at,timestamp with time zone,NO,"timezone('utc'::text, now())"
employees,id,uuid,NO,gen_random_uuid()
employees,name,text,NO,null
employees,emoji,text,YES,'👤'::text
employees,employee_id,text,NO,null
employees,access_code,text,NO,null
employees,role,text,YES,'employee'::text
employees,created_at,timestamp with time zone,YES,now()
employees,updated_at,timestamp with time zone,YES,now()
employees,fecha_alta,date,NO,'2025-06-06'::date
employees,schedule_preferences,jsonb,YES,null
employees,location_id,uuid,YES,null
employees,horas_contrato,integer,NO,40
employees,agora_employee_name,text,YES,null
employees,tarifa_hora,numeric,YES,15.00
employees,excluido_convenio,boolean,YES,false
employees,fecha_inicio_computo,date,YES,null
fichajes,id,bigint,NO,nextval('fichajes_id_seq'::regclass)
fichajes,empleado_id,uuid,NO,null
fichajes,fecha,date,NO,null
fichajes,entrada,timestamp with time zone,YES,null
fichajes,salida,timestamp with time zone,YES,null
fichajes,horas_trabajadas,numeric,YES,null
fichajes,completado,boolean,YES,false
